TITLE     = "Lower surface points for converging-diverging channel"
FROM https://turbase.cineca.it/init/routes/#/logging/view_dataset/39/tabmeta
VARIABLES = "X","Y"
1.41627836E+00 5.88331074E-02
1.42446494E+00 6.01444058E-02
1.43265152E+00 6.14737533E-02
1.44083810E+00 6.28215149E-02
1.44902468E+00 6.41880482E-02
1.45721126E+00 6.55737147E-02
1.46539783E+00 6.69788793E-02
1.47358441E+00 6.84038848E-02
1.48177099E+00 6.98489770E-02
1.48995757E+00 7.13140965E-02
1.49814415E+00 7.27991462E-02
1.50633073E+00 7.43040442E-02
1.51451731E+00 7.58287087E-02
1.52270389E+00 7.73730353E-02
1.53089046E+00 7.89369419E-02
1.53907704E+00 8.05203319E-02
1.54726362E+00 8.21231455E-02
1.55545020E+00 8.37454051E-02
1.56363678E+00 8.53871629E-02
1.57182336E+00 8.70485082E-02
1.58000994E+00 8.87294859E-02
1.58819652E+00 9.04301777E-02
1.59638309E+00 9.21506435E-02
1.60456967E+00 9.38909501E-02
1.61275625E+00 9.56511647E-02
1.62094283E+00 9.74313915E-02
1.62912941E+00 9.92317647E-02
1.63731599E+00 1.01052441E-01
1.64550257E+00 1.02893539E-01
1.65368915E+00 1.04755215E-01
1.66187572E+00 1.06637605E-01
1.67006230E+00 1.08540848E-01
1.67824888E+00 1.10465087E-01
1.68643546E+00 1.12410456E-01
1.69462204E+00 1.14377059E-01
1.70280862E+00 1.16365023E-01
1.71099520E+00 1.18374452E-01
1.71918178E+00 1.20405465E-01
1.72736835E+00 1.22458167E-01
1.73555493E+00 1.24532685E-01
1.74374151E+00 1.26629114E-01
1.75192809E+00 1.28747523E-01
1.76011467E+00 1.30887657E-01
1.76830125E+00 1.33049220E-01
1.77648783E+00 1.35231882E-01
1.78467441E+00 1.37435332E-01
1.79286098E+00 1.39659226E-01
1.80104756E+00 1.41903281E-01
1.80923414E+00 1.44167155E-01
1.81742072E+00 1.46450579E-01
1.82560730E+00 1.48753852E-01
1.83379388E+00 1.51077524E-01
1.84198046E+00 1.53422177E-01
1.85016704E+00 1.55788362E-01
1.85835361E+00 1.58176661E-01
1.86654019E+00 1.60587639E-01
1.87472677E+00 1.63021863E-01
1.88291335E+00 1.65479869E-01
1.89109993E+00 1.67961583E-01
1.89928651E+00 1.70466408E-01
1.90747309E+00 1.72993690E-01
1.91565967E+00 1.75542802E-01
1.92384624E+00 1.78113118E-01
1.93203282E+00 1.80703998E-01
1.94021940E+00 1.83314815E-01
1.94840598E+00 1.85944945E-01
1.95659256E+00 1.88594222E-01
1.96477914E+00 1.91263020E-01
1.97296572E+00 1.93951771E-01
1.98115230E+00 1.96660846E-01
1.98933887E+00 1.99390709E-01
1.99752545E+00 2.02141732E-01
2.00571203E+00 2.04914346E-01
2.01389861E+00 2.07708955E-01
2.02208519E+00 2.10525796E-01
2.03027177E+00 2.13364854E-01
2.03845835E+00 2.16226101E-01
2.04664493E+00 2.19109491E-01
2.05483150E+00 2.22014993E-01
2.06301808E+00 2.24942550E-01
2.07120466E+00 2.27892131E-01
2.07939124E+00 2.30863720E-01
2.08757782E+00 2.33857155E-01
2.09576440E+00 2.36871824E-01
2.10395098E+00 2.39906952E-01
2.11213756E+00 2.42961794E-01
2.12032413E+00 2.46035561E-01
2.12851071E+00 2.49127477E-01
2.13669729E+00 2.52236784E-01
2.14488387E+00 2.55362749E-01
2.15307045E+00 2.58504778E-01
2.16125703E+00 2.61662871E-01
2.16944361E+00 2.64836967E-01
2.17763019E+00 2.68027067E-01
2.18581676E+00 2.71233112E-01
2.19400334E+00 2.74455070E-01
2.20218992E+00 2.77692944E-01
2.21037650E+00 2.80946702E-01
2.21856308E+00 2.84216255E-01
2.22674966E+00 2.87501276E-01
2.23493624E+00 2.90801376E-01
2.24312282E+00 2.94116139E-01
2.25130939E+00 2.97445238E-01
2.25949597E+00 3.00788254E-01
2.26768255E+00 3.04144800E-01
2.27586913E+00 3.07514459E-01
2.28405571E+00 3.10896784E-01
